date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Fri Mar 14,Jordan,North Korea,Friendly in Jordan,54 106,1618 1403,86% 14%,2025-02-26
Sun Mar 16,Guatemala,Honduras,Friendly in the United States,81 68,1507 1561,42% 58%,2025-02-26
Wed Mar 19,Hong Kong,Macao,Friendly in Hong Kong,166 232,1135 597,98% 2%,2025-02-26
Wed Mar 19,India,Maldives,Friendly in India,162 203,1174 886,90% 10%,2025-02-26
Wed Mar 19,Vietnam,Cambodia,Friendly in Vietnam,124 206,1355 848,97% 3%,2025-02-26
Thu Mar 20,Australia,Indonesia,World Cup qualifier in Australia,43 134,1718 1317,95% 5%,2025-02-26
Thu Mar 20,Iran,United Arab Emirates,World Cup qualifier in Iran,18 76,1837 1532,91% 9%,2025-02-26
Thu Mar 20,Iraq,Kuwait,World Cup qualifier in Iraq,62 127,1582 1337,88% 12%,2025-02-26
Thu Mar 20,Japan,Bahrain,World Cup qualifier in Japan,13 77,1888 1528,93% 7%,2025-02-26
Thu Mar 20,Jordan,Palestine,World Cup qualifier in Jordan,54 104,1618 1406,86% 14%,2025-02-26
Thu Mar 20,Qatar,North Korea,World Cup qualifier in Qatar,78 106,1525 1403,78% 22%,2025-02-26
Thu Mar 20,Saudi Arabia,China,World Cup qualifier in Saudi Arabia,75 101,1535 1410,79% 21%,2025-02-26
Thu Mar 20,South Korea,Oman,World Cup qualifier in South Korea,31 80,1773 1511,89% 11%,2025-02-26
Thu Mar 20,Uzbekistan,Kyrgyzstan,World Cup qualifier in Uzbekistan,49 145,1681 1278,95% 5%,2025-02-26
Thu Mar 20,Croatia,France,European Nations League in Croatia,14 3,1887 2056,40% 60%,2025-02-26
Thu Mar 20,Denmark,Portugal,European Nations League in Denmark,16 6,1857 1993,45% 55%,2025-02-26
Thu Mar 20,Italy,Germany,European Nations League in Italy,11 8,1930 1972,58% 42%,2025-02-26
Thu Mar 20,Netherlands,Spain,European Nations League in the Netherlands,10 1,1939 2178,31% 69%,2025-02-26
Thu Mar 20,Austria,Serbia,European League A/B in Austria,15 21,1871 1810,72% 28%,2025-02-26
Thu Mar 20,Belgium,Ukraine,European League A/B in Spain,17 24,1851 1802,57% 43%,2025-02-26
Thu Mar 20,Greece,Scotland,European League A/B in Greece,20 34,1813 1760,71% 29%,2025-02-26
Thu Mar 20,Turkey,Hungary,European League A/B in Turkey,29 27,1774 1779,63% 37%,2025-02-26
Thu Mar 20,Armenia,Georgia,European League B/C in Armenia,100 47,1412 1691,26% 74%,2025-02-26
Thu Mar 20,Bulgaria,Ireland,European League B/C in Bulgaria,84 57,1486 1609,47% 53%,2025-02-26
Thu Mar 20,Kosovo,Iceland,European League B/C in Kosovo,70 65,1554 1576,61% 39%,2025-02-26
Thu Mar 20,Slovakia,Slovenia,European League B/C in Slovakia,45 40,1702 1727,61% 39%,2025-02-26
Thu Mar 20,Tajikistan,Belarus,Friendly in Tajikistan,136 88,1304 1459,42% 58%,2025-02-26
Thu Mar 20,Vietnam,Myanmar,Friendly in Vietnam,124 197,1355 914,96% 4%,2025-02-26
Thu Mar 20,Brazil,Colombia,World Cup qualifier in Brazil,5 7,1997 1979,66% 34%,2025-02-26
Thu Mar 20,Paraguay,Chile,World Cup qualifier in Paraguay,29 39,1774 1728,70% 30%,2025-02-26
