rounded_elo,result_class,count,total_c,pct
-1200,T1,0.0,3,0.0
-1200,D,0.0,3,0.0
-1200,T2,3.0,3,1.0
-1150,T1,0.0,3,0.0
-1150,D,0.0,3,0.0
-1150,T2,3.0,3,1.0
-1100,T1,0.0,5,0.0
-1100,D,0.0,5,0.0
-1100,T2,5.0,5,1.0
-1050,T1,0.0,6,0.0
-1050,D,0.0,6,0.0
-1050,T2,6.0,6,1.0
-1000,T1,0.0,13,0.0
-1000,D,0.0,13,0.0
-1000,T2,13.0,13,1.0
-950,T1,0.0,11,0.0
-950,D,0.0,11,0.0
-950,T2,11.0,11,1.0
-900,T1,0.0,19,0.0
-900,D,0.0,19,0.0
-900,T2,19.0,19,1.0
-850,T1,0.0,31,0.0
-850,D,0.0,31,0.0
-850,T2,31.0,31,1.0
-800,T1,0.0,46,0.0
-800,D,0.0,46,0.0
-800,T2,46.0,46,1.0
-750,T1,0.0,59,0.0
-750,D,1.0,59,0.01694915254237288
-750,T2,58.0,59,0.9830508474576272
-700,T1,1.0,67,0.014925373134328358
-700,D,3.0,67,0.04477611940298507
-700,T2,63.0,67,0.9402985074626866
-650,T1,0.0,94,0.0
-650,D,5.0,94,0.05319148936170213
-650,T2,89.0,94,0.9468085106382979
-600,T1,7.0,123,0.056910569105691054
-600,D,11.0,123,0.08943089430894309
-600,T2,105.0,123,0.8536585365853658
-550,T1,8.0,199,0.04020100502512563
-550,D,13.0,199,0.06532663316582915
-550,T2,178.0,199,0.8944723618090452
-500,T1,6.0,234,0.02564102564102564
-500,D,31.0,234,0.13247863247863248
-500,T2,197.0,234,0.8418803418803419
-450,T1,13.0,330,0.03939393939393939
-450,D,61.0,330,0.18484848484848485
-450,T2,256.0,330,0.7757575757575758
-400,T1,38.0,484,0.07851239669421488
-400,D,81.0,484,0.16735537190082644
-400,T2,365.0,484,0.7541322314049587
-350,T1,59.0,584,0.10102739726027397
-350,D,111.0,584,0.19006849315068494
-350,T2,414.0,584,0.708904109589041
-300,T1,77.0,668,0.11526946107784432
-300,D,158.0,668,0.23652694610778444
-300,T2,433.0,668,0.6482035928143712
-250,T1,121.0,781,0.15492957746478872
-250,D,183.0,781,0.23431498079385404
-250,T2,477.0,781,0.6107554417413572
-200,T1,180.0,962,0.18711018711018712
-200,D,250.0,962,0.2598752598752599
-200,T2,532.0,962,0.553014553014553
-150,T1,241.0,1061,0.22714420358152687
-150,D,308.0,1061,0.29029217719132894
-150,T2,512.0,1061,0.4825636192271442
-100,T1,364.0,1238,0.2940226171243942
-100,D,349.0,1238,0.28190630048465265
-100,T2,525.0,1238,0.42407108239095315
-50,T1,384.0,1236,0.3106796116504854
-50,D,383.0,1236,0.3098705501618123
-50,T2,469.0,1236,0.3794498381877023
0,T1,469.0,1240,0.3782258064516129
0,D,384.0,1240,0.3096774193548387
0,T2,387.0,1240,0.31209677419354837
50,T1,521.0,1232,0.42288961038961037
50,D,347.0,1232,0.28165584415584416
50,T2,364.0,1232,0.29545454545454547
100,T1,513.0,1069,0.47988774555659497
100,D,310.0,1069,0.2899906454630496
100,T2,246.0,1069,0.23012160898035547
150,T1,536.0,971,0.5520082389289392
150,D,254.0,971,0.2615859938208033
150,T2,181.0,971,0.18640576725025745
200,T1,477.0,779,0.6123234916559692
200,D,183.0,779,0.23491655969191272
200,T2,119.0,779,0.1527599486521181
250,T1,438.0,672,0.6517857142857143
250,D,156.0,672,0.23214285714285715
250,T2,78.0,672,0.11607142857142858
300,T1,411.0,583,0.7049742710120068
300,D,114.0,583,0.1955403087478559
300,T2,58.0,583,0.09948542024013722
350,T1,368.0,487,0.75564681724846
350,D,80.0,487,0.16427104722792607
350,T2,39.0,487,0.08008213552361396
400,T1,253.0,327,0.7737003058103975
400,D,60.0,327,0.1834862385321101
400,T2,14.0,327,0.04281345565749235
450,T1,202.0,241,0.8381742738589212
450,D,33.0,241,0.13692946058091288
450,T2,6.0,241,0.024896265560165973
500,T1,171.0,192,0.890625
500,D,13.0,192,0.06770833333333333
500,T2,8.0,192,0.041666666666666664
550,T1,110.0,127,0.8661417322834646
550,D,10.0,127,0.07874015748031496
550,T2,7.0,127,0.05511811023622047
600,T1,90.0,96,0.9375
600,D,6.0,96,0.0625
600,T2,0.0,96,0.0
650,T1,64.0,68,0.9411764705882353
650,D,3.0,68,0.04411764705882353
650,T2,1.0,68,0.014705882352941176
700,T1,58.0,59,0.9830508474576272
700,D,1.0,59,0.01694915254237288
700,T2,0.0,59,0.0
750,T1,46.0,46,1.0
750,D,0.0,46,0.0
750,T2,0.0,46,0.0
800,T1,31.0,31,1.0
800,D,0.0,31,0.0
800,T2,0.0,31,0.0
850,T1,20.0,20,1.0
850,D,0.0,20,0.0
850,T2,0.0,20,0.0
900,T1,11.0,11,1.0
900,D,0.0,11,0.0
900,T2,0.0,11,0.0
950,T1,13.0,13,1.0
950,D,0.0,13,0.0
950,T2,0.0,13,0.0
1000,T1,6.0,6,1.0
1000,D,0.0,6,0.0
1000,T2,0.0,6,0.0
1050,T1,5.0,5,1.0
1050,D,0.0,5,0.0
1050,T2,0.0,5,0.0
1100,T1,3.0,3,1.0
1100,D,0.0,3,0.0
1100,T2,0.0,3,0.0
1150,T1,3.0,3,1.0
1150,D,0.0,3,0.0
1150,T2,0.0,3,0.0
1200,T1,3.0,3,1.0
1200,D,0.0,3,0.0
1200,T2,0.0,3,0.0
